p,success_probability,mutual_information_bits
5.300000000000000266e-01,6.012573242187500000e-01,3.980959055160844251e-01
5.400000000000000355e-01,5.938720703125000000e-01,3.821492962821774753e-01
5.500000000000000444e-01,5.862121582031250000e-01,3.660371731771761006e-01
5.600000000000000533e-01,5.785217285156250000e-01,3.500963775134888767e-01
5.700000000000000622e-01,5.709838867187500000e-01,3.349498311581878274e-01
5.799999999999999600e-01,5.638732910156250000e-01,3.208786061208085405e-01
5.899999999999999689e-01,5.564270019531250000e-01,3.064832481650808793e-01
5.999999999999999778e-01,5.496826171875000000e-01,2.936892740504783994e-01
6.099999999999999867e-01,5.425109863281250000e-01,2.804292337667189106e-01
6.199999999999999956e-01,5.350952148437500000e-01,2.670064614442562156e-01
6.300000000000000044e-01,5.278930664062500000e-01,2.542430659913809121e-01
6.400000000000000133e-01,5.204772949218750000e-01,2.414047002561229283e-01
6.500000000000000222e-01,5.130310058593750000e-01,2.289032966632369437e-01
6.600000000000000311e-01,5.055541992187500000e-01,2.166637481961002643e-01
6.700000000000000400e-01,4.986267089843750000e-01,2.055828393538508825e-01
6.800000000000000488e-01,4.910278320312500000e-01,1.937697104497831946e-01
6.900000000000000577e-01,4.830322265625000000e-01,1.816934518363088058e-01
7.000000000000000666e-01,4.761962890625000000e-01,1.716586820279401293e-01
7.099999999999999645e-01,4.692993164062500000e-01,1.618223135002854751e-01
7.199999999999999734e-01,4.620361328125000000e-01,1.517654095470332420e-01
7.299999999999999822e-01,4.542541503906250000e-01,1.413264344938738315e-01
7.399999999999999911e-01,4.462280273437500000e-01,1.309017986311523107e-01
7.500000000000000000e-01,4.387207031250000000e-01,1.215209413100748204e-01
7.600000000000000089e-01,4.315185546875000000e-01,1.128271909489619307e-01
7.700000000000000178e-01,4.237670898437500000e-01,1.038053766167948283e-01
7.800000000000000266e-01,4.162292480468750000e-01,9.537890210581460859e-02
7.900000000000000355e-01,4.090576171875000000e-01,8.766475564865720826e-02
8.000000000000000444e-01,4.016723632812500000e-01,8.005852973653564131e-02
8.100000000000000533e-01,3.941040039062500000e-01,7.259722024500124549e-02
8.200000000000000622e-01,3.867492675781250000e-01,6.569164940009139531e-02
8.300000000000000711e-01,3.793029785156250000e-01,5.903410952436825149e-02
8.399999999999999689e-01,3.721618652343750000e-01,5.297715625275872808e-02
8.499999999999999778e-01,3.650512695312500000e-01,4.721229413114931550e-02
8.599999999999999867e-01,3.574829101562500000e-01,4.142031226152974310e-02
8.699999999999999956e-01,3.490295410156250000e-01,3.538910908513220183e-02
