scale_factor,delay_ns,bloch_x,bloch_y,bloch_z,fidelity
1.200000000000000000e+02,6.000000000000000000e+04,3.850097656250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.925048909847719703e-01
1.225000000000000000e+02,6.125000000000000000e+04,3.771972656250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.885986410133237978e-01
1.250000000000000000e+02,6.250000000000000000e+04,3.679199218750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.839599691713437180e-01
1.275000000000000000e+02,6.375000000000000000e+04,3.625488281250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.812744223150268841e-01
1.300000000000000000e+02,6.500000000000000000e+04,3.544921875000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.772461020299586076e-01
1.325000000000000000e+02,6.625000000000000000e+04,3.452148437500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.726074301856754811e-01
1.350000000000000000e+02,6.750000000000000000e+04,3.398437500000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.699218833280353724e-01
1.375000000000000000e+02,6.875000000000000000e+04,3.320312500000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.660156333527395001e-01
1.400000000000000000e+02,7.000000000000000000e+04,3.256835937500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.628418052473349364e-01
1.425000000000000000e+02,7.125000000000000000e+04,3.173828125000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.586914146473246134e-01
1.450000000000000000e+02,7.250000000000000000e+04,3.105468750000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.552734459173654713e-01
1.475000000000000000e+02,7.375000000000000000e+04,3.061523437500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.530761803049940362e-01
1.500000000000000000e+02,7.500000000000000000e+04,2.990722656250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.495361412624226505e-01
1.525000000000000000e+02,7.625000000000000000e+04,2.949218750000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.474609459613668294e-01
1.550000000000000000e+02,7.750000000000000000e+04,2.897949218750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.448974694127621587e-01
1.575000000000000000e+02,7.875000000000000000e+04,2.836914062500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.418457116164579812e-01
1.600000000000000000e+02,8.000000000000000000e+04,2.773437500000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.386718835079039369e-01
1.625000000000000000e+02,8.125000000000000000e+04,2.705078125000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.352539147751654625e-01
1.650000000000000000e+02,8.250000000000000000e+04,2.658691406250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.329345788491137492e-01
1.675000000000000000e+02,8.375000000000000000e+04,2.585449218750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.292724694917563033e-01
1.700000000000000000e+02,8.500000000000000000e+04,2.529296875000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.264648523174246586e-01
1.725000000000000000e+02,8.625000000000000000e+04,2.497558593750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.248779382622313694e-01
1.750000000000000000e+02,8.750000000000000000e+04,2.448730468750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.224365320232794208e-01
1.775000000000000000e+02,8.875000000000000000e+04,2.402343750000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.201171960960618623e-01
1.800000000000000000e+02,9.000000000000000000e+04,2.348632812500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.174316492327052153e-01
1.825000000000000000e+02,9.125000000000000000e+04,2.309570312500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.154785242409996915e-01
1.850000000000000000e+02,9.250000000000000000e+04,2.272949218750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.136474695611419117e-01
1.875000000000000000e+02,9.375000000000000000e+04,2.221679687500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.110839930091238603e-01
1.900000000000000000e+02,9.500000000000000000e+04,2.182617187500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.091308680169416068e-01
1.925000000000000000e+02,9.625000000000000000e+04,2.150878906250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.075439539606862782e-01
1.950000000000000000e+02,9.750000000000000000e+04,2.104492187500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.052246180321413371e-01
1.975000000000000000e+02,9.875000000000000000e+04,2.058105468750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.029052821033916709e-01
2.000000000000000000e+02,1.000000000000000000e+05,2.019042968750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.009521571106025695e-01
